2021-01-07 09:47:31,304 - train.py[line:111] - INFO : ==> Preparing dataset <==
2021-01-07 09:49:39,831 - train.py[line:75] - INFO : [Epoch:3, iter:2100] Loss: 1.74974 
2021-01-07 09:49:44,732 - train.py[line:75] - INFO : [Epoch:3, iter:2200] Loss: 1.74483 
2021-01-07 09:49:47,197 - train.py[line:94] - INFO : Validation | Loss: 1.68012
2021-01-07 09:49:47,197 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:49:50,980 - train.py[line:75] - INFO : [Epoch:4, iter:2300] Loss: 1.67651 
2021-01-07 09:49:56,824 - train.py[line:75] - INFO : [Epoch:4, iter:2400] Loss: 1.68562 
2021-01-07 09:50:01,932 - train.py[line:75] - INFO : [Epoch:4, iter:2500] Loss: 1.67101 
2021-01-07 09:50:07,051 - train.py[line:75] - INFO : [Epoch:4, iter:2600] Loss: 1.66142 
2021-01-07 09:50:12,137 - train.py[line:75] - INFO : [Epoch:4, iter:2700] Loss: 1.67134 
2021-01-07 09:50:17,266 - train.py[line:75] - INFO : [Epoch:4, iter:2800] Loss: 1.66976 
2021-01-07 09:50:22,485 - train.py[line:75] - INFO : [Epoch:4, iter:2900] Loss: 1.66113 
2021-01-07 09:50:27,044 - train.py[line:94] - INFO : Validation | Loss: 1.69136
2021-01-07 09:50:27,044 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:50:29,222 - train.py[line:75] - INFO : [Epoch:5, iter:3000] Loss: 1.62273 
2021-01-07 09:50:34,366 - train.py[line:75] - INFO : [Epoch:5, iter:3100] Loss: 1.62178 
2021-01-07 09:50:39,908 - train.py[line:75] - INFO : [Epoch:5, iter:3200] Loss: 1.62452 
2021-01-07 09:50:45,024 - train.py[line:75] - INFO : [Epoch:5, iter:3300] Loss: 1.60792 
2021-01-07 09:50:49,676 - train.py[line:75] - INFO : [Epoch:5, iter:3400] Loss: 1.59948 
2021-01-07 09:50:53,627 - train.py[line:75] - INFO : [Epoch:5, iter:3500] Loss: 1.59478 
2021-01-07 09:50:58,115 - train.py[line:75] - INFO : [Epoch:5, iter:3600] Loss: 1.58795 
2021-01-07 09:51:02,559 - train.py[line:75] - INFO : [Epoch:5, iter:3700] Loss: 1.58104 
2021-01-07 09:51:04,184 - train.py[line:94] - INFO : Validation | Loss: 1.56812
2021-01-07 09:51:04,184 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:51:08,962 - train.py[line:75] - INFO : [Epoch:6, iter:3800] Loss: 1.52709 
2021-01-07 09:51:14,478 - train.py[line:75] - INFO : [Epoch:6, iter:3900] Loss: 1.53183 
2021-01-07 09:51:19,836 - train.py[line:75] - INFO : [Epoch:6, iter:4000] Loss: 1.52148 
2021-01-07 09:51:25,531 - train.py[line:75] - INFO : [Epoch:6, iter:4100] Loss: 1.51386 
2021-01-07 09:51:30,838 - train.py[line:75] - INFO : [Epoch:6, iter:4200] Loss: 1.51837 
2021-01-07 09:51:36,434 - train.py[line:75] - INFO : [Epoch:6, iter:4300] Loss: 1.51970 
2021-01-07 09:51:41,949 - train.py[line:75] - INFO : [Epoch:6, iter:4400] Loss: 1.51661 
2021-01-07 09:51:46,196 - train.py[line:94] - INFO : Validation | Loss: 1.48549
2021-01-07 09:51:46,197 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:51:49,060 - train.py[line:75] - INFO : [Epoch:7, iter:4500] Loss: 1.46967 
2021-01-07 09:51:54,261 - train.py[line:75] - INFO : [Epoch:7, iter:4600] Loss: 1.48101 
2021-01-07 09:51:59,624 - train.py[line:75] - INFO : [Epoch:7, iter:4700] Loss: 1.48374 
2021-01-07 09:52:04,121 - train.py[line:75] - INFO : [Epoch:7, iter:4800] Loss: 1.48216 
2021-01-07 09:52:09,250 - train.py[line:75] - INFO : [Epoch:7, iter:4900] Loss: 1.47411 
2021-01-07 09:52:15,159 - train.py[line:75] - INFO : [Epoch:7, iter:5000] Loss: 1.46991 
2021-01-07 09:52:19,519 - train.py[line:75] - INFO : [Epoch:7, iter:5100] Loss: 1.46691 
2021-01-07 09:52:25,141 - train.py[line:94] - INFO : Validation | Loss: 1.42273
2021-01-07 09:52:25,142 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:52:25,878 - train.py[line:75] - INFO : [Epoch:8, iter:5200] Loss: 1.48669 
2021-01-07 09:52:30,584 - train.py[line:75] - INFO : [Epoch:8, iter:5300] Loss: 1.45485 
2021-01-07 09:52:35,827 - train.py[line:75] - INFO : [Epoch:8, iter:5400] Loss: 1.42549 
2021-01-07 09:52:40,983 - train.py[line:75] - INFO : [Epoch:8, iter:5500] Loss: 1.43140 
2021-01-07 09:52:46,318 - train.py[line:75] - INFO : [Epoch:8, iter:5600] Loss: 1.43133 
2021-01-07 09:52:51,089 - train.py[line:75] - INFO : [Epoch:8, iter:5700] Loss: 1.43007 
2021-01-07 09:52:55,301 - train.py[line:75] - INFO : [Epoch:8, iter:5800] Loss: 1.42669 
2021-01-07 09:53:00,608 - train.py[line:75] - INFO : [Epoch:8, iter:5900] Loss: 1.42571 
2021-01-07 09:53:04,099 - train.py[line:94] - INFO : Validation | Loss: 1.36577
2021-01-07 09:53:04,100 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:53:07,943 - train.py[line:75] - INFO : [Epoch:9, iter:6000] Loss: 1.37702 
2021-01-07 09:53:13,264 - train.py[line:75] - INFO : [Epoch:9, iter:6100] Loss: 1.39110 
2021-01-07 09:53:18,533 - train.py[line:75] - INFO : [Epoch:9, iter:6200] Loss: 1.38223 
2021-01-07 09:53:23,651 - train.py[line:75] - INFO : [Epoch:9, iter:6300] Loss: 1.38157 
2021-01-07 09:53:29,076 - train.py[line:75] - INFO : [Epoch:9, iter:6400] Loss: 1.38270 
2021-01-07 09:53:34,507 - train.py[line:75] - INFO : [Epoch:9, iter:6500] Loss: 1.38100 
2021-01-07 09:53:39,914 - train.py[line:75] - INFO : [Epoch:9, iter:6600] Loss: 1.38144 
2021-01-07 09:53:45,113 - train.py[line:94] - INFO : Validation | Loss: 1.35477
2021-01-07 09:53:45,114 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:53:46,955 - train.py[line:75] - INFO : [Epoch:10, iter:6700] Loss: 1.35852 
2021-01-07 09:53:51,675 - train.py[line:75] - INFO : [Epoch:10, iter:6800] Loss: 1.35638 
2021-01-07 09:53:56,947 - train.py[line:75] - INFO : [Epoch:10, iter:6900] Loss: 1.36333 
2021-01-07 09:54:01,314 - train.py[line:75] - INFO : [Epoch:10, iter:7000] Loss: 1.36112 
2021-01-07 09:54:06,486 - train.py[line:75] - INFO : [Epoch:10, iter:7100] Loss: 1.36027 
2021-01-07 09:54:11,396 - train.py[line:75] - INFO : [Epoch:10, iter:7200] Loss: 1.35636 
2021-01-07 09:54:15,988 - train.py[line:75] - INFO : [Epoch:10, iter:7300] Loss: 1.35398 
2021-01-07 09:54:20,245 - train.py[line:75] - INFO : [Epoch:10, iter:7400] Loss: 1.34967 
2021-01-07 09:54:22,406 - train.py[line:94] - INFO : Validation | Loss: 1.29775
2021-01-07 09:54:22,406 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:54:26,998 - train.py[line:75] - INFO : [Epoch:11, iter:7500] Loss: 1.32559 
2021-01-07 09:54:31,575 - train.py[line:75] - INFO : [Epoch:11, iter:7600] Loss: 1.32526 
2021-01-07 09:54:35,947 - train.py[line:75] - INFO : [Epoch:11, iter:7700] Loss: 1.31881 
2021-01-07 09:54:40,659 - train.py[line:75] - INFO : [Epoch:11, iter:7800] Loss: 1.31720 
2021-01-07 09:54:45,749 - train.py[line:75] - INFO : [Epoch:11, iter:7900] Loss: 1.31308 
2021-01-07 09:54:50,573 - train.py[line:75] - INFO : [Epoch:11, iter:8000] Loss: 1.31526 
2021-01-07 09:54:55,188 - train.py[line:75] - INFO : [Epoch:11, iter:8100] Loss: 1.31291 
2021-01-07 09:54:59,259 - train.py[line:94] - INFO : Validation | Loss: 1.34583
2021-01-07 09:54:59,260 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:55:01,532 - train.py[line:75] - INFO : [Epoch:12, iter:8200] Loss: 1.26905 
2021-01-07 09:55:05,646 - train.py[line:75] - INFO : [Epoch:12, iter:8300] Loss: 1.28213 
2021-01-07 09:55:09,775 - train.py[line:75] - INFO : [Epoch:12, iter:8400] Loss: 1.29327 
2021-01-07 09:55:13,993 - train.py[line:75] - INFO : [Epoch:12, iter:8500] Loss: 1.28999 
2021-01-07 09:55:18,567 - train.py[line:75] - INFO : [Epoch:12, iter:8600] Loss: 1.28997 
2021-01-07 09:55:23,226 - train.py[line:75] - INFO : [Epoch:12, iter:8700] Loss: 1.28322 
2021-01-07 09:55:27,720 - train.py[line:75] - INFO : [Epoch:12, iter:8800] Loss: 1.28661 
2021-01-07 09:55:32,401 - train.py[line:75] - INFO : [Epoch:12, iter:8900] Loss: 1.28471 
2021-01-07 09:55:33,888 - train.py[line:94] - INFO : Validation | Loss: 1.30637
2021-01-07 09:55:33,889 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:55:38,224 - train.py[line:75] - INFO : [Epoch:13, iter:9000] Loss: 1.24666 
2021-01-07 09:55:43,512 - train.py[line:75] - INFO : [Epoch:13, iter:9100] Loss: 1.25904 
2021-01-07 09:55:48,348 - train.py[line:75] - INFO : [Epoch:13, iter:9200] Loss: 1.26074 
2021-01-07 09:55:52,591 - train.py[line:75] - INFO : [Epoch:13, iter:9300] Loss: 1.26091 
2021-01-07 09:55:56,974 - train.py[line:75] - INFO : [Epoch:13, iter:9400] Loss: 1.25585 
2021-01-07 09:56:01,663 - train.py[line:75] - INFO : [Epoch:13, iter:9500] Loss: 1.25497 
2021-01-07 09:56:05,802 - train.py[line:75] - INFO : [Epoch:13, iter:9600] Loss: 1.25534 
2021-01-07 09:56:09,071 - train.py[line:94] - INFO : Validation | Loss: 1.30375
2021-01-07 09:56:09,071 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:56:12,210 - train.py[line:75] - INFO : [Epoch:14, iter:9700] Loss: 1.23455 
2021-01-07 09:56:16,935 - train.py[line:75] - INFO : [Epoch:14, iter:9800] Loss: 1.24091 
2021-01-07 09:56:21,022 - train.py[line:75] - INFO : [Epoch:14, iter:9900] Loss: 1.23417 
2021-01-07 09:56:25,586 - train.py[line:75] - INFO : [Epoch:14, iter:10000] Loss: 1.23194 
2021-01-07 09:56:30,380 - train.py[line:75] - INFO : [Epoch:14, iter:10100] Loss: 1.22783 
2021-01-07 09:56:35,148 - train.py[line:75] - INFO : [Epoch:14, iter:10200] Loss: 1.23667 
2021-01-07 09:56:39,692 - train.py[line:75] - INFO : [Epoch:14, iter:10300] Loss: 1.23058 
2021-01-07 09:56:44,350 - train.py[line:94] - INFO : Validation | Loss: 1.22328
2021-01-07 09:56:44,350 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:56:45,373 - train.py[line:75] - INFO : [Epoch:15, iter:10400] Loss: 1.23073 
2021-01-07 09:56:49,313 - train.py[line:75] - INFO : [Epoch:15, iter:10500] Loss: 1.20339 
2021-01-07 09:56:53,343 - train.py[line:75] - INFO : [Epoch:15, iter:10600] Loss: 1.18874 
2021-01-07 09:56:57,256 - train.py[line:75] - INFO : [Epoch:15, iter:10700] Loss: 1.19546 
2021-01-07 09:57:01,634 - train.py[line:75] - INFO : [Epoch:15, iter:10800] Loss: 1.19856 
2021-01-07 09:57:05,948 - train.py[line:75] - INFO : [Epoch:15, iter:10900] Loss: 1.19976 
2021-01-07 09:57:10,960 - train.py[line:75] - INFO : [Epoch:15, iter:11000] Loss: 1.20132 
2021-01-07 09:57:16,181 - train.py[line:75] - INFO : [Epoch:15, iter:11100] Loss: 1.20104 
2021-01-07 09:57:19,048 - train.py[line:94] - INFO : Validation | Loss: 1.25795
2021-01-07 09:57:19,049 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:57:23,219 - train.py[line:75] - INFO : [Epoch:16, iter:11200] Loss: 1.16927 
2021-01-07 09:57:28,029 - train.py[line:75] - INFO : [Epoch:16, iter:11300] Loss: 1.18493 
2021-01-07 09:57:32,513 - train.py[line:75] - INFO : [Epoch:16, iter:11400] Loss: 1.17206 
2021-01-07 09:57:37,688 - train.py[line:75] - INFO : [Epoch:16, iter:11500] Loss: 1.16739 
2021-01-07 09:57:42,969 - train.py[line:75] - INFO : [Epoch:16, iter:11600] Loss: 1.16720 
2021-01-07 09:57:47,161 - train.py[line:75] - INFO : [Epoch:16, iter:11700] Loss: 1.16670 
2021-01-07 09:57:51,766 - train.py[line:75] - INFO : [Epoch:16, iter:11800] Loss: 1.16560 
2021-01-07 09:57:56,284 - train.py[line:94] - INFO : Validation | Loss: 1.18375
2021-01-07 09:57:56,285 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:57:58,021 - train.py[line:75] - INFO : [Epoch:17, iter:11900] Loss: 1.19132 
2021-01-07 09:58:02,598 - train.py[line:75] - INFO : [Epoch:17, iter:12000] Loss: 1.17202 
2021-01-07 09:58:07,357 - train.py[line:75] - INFO : [Epoch:17, iter:12100] Loss: 1.15760 
2021-01-07 09:58:12,637 - train.py[line:75] - INFO : [Epoch:17, iter:12200] Loss: 1.15267 
2021-01-07 09:58:17,342 - train.py[line:75] - INFO : [Epoch:17, iter:12300] Loss: 1.15430 
2021-01-07 09:58:22,498 - train.py[line:75] - INFO : [Epoch:17, iter:12400] Loss: 1.15226 
2021-01-07 09:58:27,308 - train.py[line:75] - INFO : [Epoch:17, iter:12500] Loss: 1.15253 
2021-01-07 09:58:32,494 - train.py[line:75] - INFO : [Epoch:17, iter:12600] Loss: 1.15098 
2021-01-07 09:58:34,635 - train.py[line:94] - INFO : Validation | Loss: 1.23914
2021-01-07 09:58:34,636 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:58:38,895 - train.py[line:75] - INFO : [Epoch:18, iter:12700] Loss: 1.12162 
2021-01-07 09:58:43,639 - train.py[line:75] - INFO : [Epoch:18, iter:12800] Loss: 1.13158 
2021-01-07 09:58:48,906 - train.py[line:75] - INFO : [Epoch:18, iter:12900] Loss: 1.12443 
2021-01-07 09:58:53,317 - train.py[line:75] - INFO : [Epoch:18, iter:13000] Loss: 1.12269 
2021-01-07 09:58:58,643 - train.py[line:75] - INFO : [Epoch:18, iter:13100] Loss: 1.11984 
2021-01-07 09:59:03,565 - train.py[line:75] - INFO : [Epoch:18, iter:13200] Loss: 1.12163 
2021-01-07 09:59:08,302 - train.py[line:75] - INFO : [Epoch:18, iter:13300] Loss: 1.11919 
2021-01-07 09:59:12,175 - train.py[line:94] - INFO : Validation | Loss: 1.17001
2021-01-07 09:59:12,175 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:59:15,030 - train.py[line:75] - INFO : [Epoch:19, iter:13400] Loss: 1.07530 
2021-01-07 09:59:20,154 - train.py[line:75] - INFO : [Epoch:19, iter:13500] Loss: 1.08049 
2021-01-07 09:59:24,653 - train.py[line:75] - INFO : [Epoch:19, iter:13600] Loss: 1.09222 
2021-01-07 09:59:29,489 - train.py[line:75] - INFO : [Epoch:19, iter:13700] Loss: 1.10362 
2021-01-07 09:59:34,694 - train.py[line:75] - INFO : [Epoch:19, iter:13800] Loss: 1.10026 
2021-01-07 09:59:40,105 - train.py[line:75] - INFO : [Epoch:19, iter:13900] Loss: 1.09984 
2021-01-07 09:59:45,576 - train.py[line:75] - INFO : [Epoch:19, iter:14000] Loss: 1.09551 
2021-01-07 09:59:51,779 - train.py[line:94] - INFO : Validation | Loss: 1.24973
2021-01-07 09:59:51,780 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 09:59:52,453 - train.py[line:75] - INFO : [Epoch:20, iter:14100] Loss: 0.94915 
2021-01-07 09:59:57,777 - train.py[line:75] - INFO : [Epoch:20, iter:14200] Loss: 1.07713 
2021-01-07 10:00:02,791 - train.py[line:75] - INFO : [Epoch:20, iter:14300] Loss: 1.07598 
2021-01-07 10:00:08,044 - train.py[line:75] - INFO : [Epoch:20, iter:14400] Loss: 1.07846 
2021-01-07 10:00:13,652 - train.py[line:75] - INFO : [Epoch:20, iter:14500] Loss: 1.07809 
2021-01-07 10:00:18,043 - train.py[line:75] - INFO : [Epoch:20, iter:14600] Loss: 1.07739 
2021-01-07 10:00:22,922 - train.py[line:75] - INFO : [Epoch:20, iter:14700] Loss: 1.07610 
2021-01-07 10:00:27,863 - train.py[line:75] - INFO : [Epoch:20, iter:14800] Loss: 1.07840 
2021-01-07 10:00:31,160 - train.py[line:94] - INFO : Validation | Loss: 1.09590
2021-01-07 10:00:31,161 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:00:34,409 - train.py[line:75] - INFO : [Epoch:21, iter:14900] Loss: 1.05214 
2021-01-07 10:00:39,205 - train.py[line:75] - INFO : [Epoch:21, iter:15000] Loss: 1.04271 
2021-01-07 10:00:43,921 - train.py[line:75] - INFO : [Epoch:21, iter:15100] Loss: 1.04016 
2021-01-07 10:00:49,148 - train.py[line:75] - INFO : [Epoch:21, iter:15200] Loss: 1.04558 
2021-01-07 10:00:53,597 - train.py[line:75] - INFO : [Epoch:21, iter:15300] Loss: 1.04532 
2021-01-07 10:00:58,187 - train.py[line:75] - INFO : [Epoch:21, iter:15400] Loss: 1.04615 
2021-01-07 10:01:02,470 - train.py[line:75] - INFO : [Epoch:21, iter:15500] Loss: 1.04784 
2021-01-07 10:01:07,347 - train.py[line:94] - INFO : Validation | Loss: 1.11994
2021-01-07 10:01:07,348 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:01:08,682 - train.py[line:75] - INFO : [Epoch:22, iter:15600] Loss: 1.02873 
2021-01-07 10:01:13,476 - train.py[line:75] - INFO : [Epoch:22, iter:15700] Loss: 1.03093 
2021-01-07 10:01:18,434 - train.py[line:75] - INFO : [Epoch:22, iter:15800] Loss: 1.01549 
2021-01-07 10:01:23,085 - train.py[line:75] - INFO : [Epoch:22, iter:15900] Loss: 1.03049 
2021-01-07 10:01:27,630 - train.py[line:75] - INFO : [Epoch:22, iter:16000] Loss: 1.02645 
2021-01-07 10:01:32,218 - train.py[line:75] - INFO : [Epoch:22, iter:16100] Loss: 1.02529 
2021-01-07 10:01:36,827 - train.py[line:75] - INFO : [Epoch:22, iter:16200] Loss: 1.02399 
2021-01-07 10:01:41,715 - train.py[line:75] - INFO : [Epoch:22, iter:16300] Loss: 1.02353 
2021-01-07 10:01:44,240 - train.py[line:94] - INFO : Validation | Loss: 1.09039
2021-01-07 10:01:44,240 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:01:48,330 - train.py[line:75] - INFO : [Epoch:23, iter:16400] Loss: 1.03604 
2021-01-07 10:01:53,104 - train.py[line:75] - INFO : [Epoch:23, iter:16500] Loss: 1.01884 
2021-01-07 10:01:57,953 - train.py[line:75] - INFO : [Epoch:23, iter:16600] Loss: 1.01288 
2021-01-07 10:02:02,617 - train.py[line:75] - INFO : [Epoch:23, iter:16700] Loss: 1.01018 
2021-01-07 10:02:07,162 - train.py[line:75] - INFO : [Epoch:23, iter:16800] Loss: 1.01152 
2021-01-07 10:02:11,908 - train.py[line:75] - INFO : [Epoch:23, iter:16900] Loss: 1.01193 
2021-01-07 10:02:16,418 - train.py[line:75] - INFO : [Epoch:23, iter:17000] Loss: 1.01085 
2021-01-07 10:02:21,266 - train.py[line:94] - INFO : Validation | Loss: 1.04638
2021-01-07 10:02:21,267 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:02:23,802 - train.py[line:75] - INFO : [Epoch:24, iter:17100] Loss: 1.00576 
2021-01-07 10:02:28,977 - train.py[line:75] - INFO : [Epoch:24, iter:17200] Loss: 0.98751 
2021-01-07 10:02:34,224 - train.py[line:75] - INFO : [Epoch:24, iter:17300] Loss: 0.99813 
2021-01-07 10:02:39,411 - train.py[line:75] - INFO : [Epoch:24, iter:17400] Loss: 0.99386 
2021-01-07 10:02:44,349 - train.py[line:75] - INFO : [Epoch:24, iter:17500] Loss: 0.99198 
2021-01-07 10:02:48,813 - train.py[line:75] - INFO : [Epoch:24, iter:17600] Loss: 0.99036 
2021-01-07 10:02:53,557 - train.py[line:75] - INFO : [Epoch:24, iter:17700] Loss: 0.99127 
2021-01-07 10:02:58,315 - train.py[line:75] - INFO : [Epoch:24, iter:17800] Loss: 0.99151 
2021-01-07 10:02:59,911 - train.py[line:94] - INFO : Validation | Loss: 1.09836
2021-01-07 10:02:59,912 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:03:04,681 - train.py[line:75] - INFO : [Epoch:25, iter:17900] Loss: 0.98961 
2021-01-07 10:03:09,567 - train.py[line:75] - INFO : [Epoch:25, iter:18000] Loss: 0.99126 
2021-01-07 10:03:14,381 - train.py[line:75] - INFO : [Epoch:25, iter:18100] Loss: 0.98099 
2021-01-07 10:03:18,961 - train.py[line:75] - INFO : [Epoch:25, iter:18200] Loss: 0.97083 
2021-01-07 10:03:23,767 - train.py[line:75] - INFO : [Epoch:25, iter:18300] Loss: 0.96897 
2021-01-07 10:03:28,803 - train.py[line:75] - INFO : [Epoch:25, iter:18400] Loss: 0.96867 
2021-01-07 10:03:33,161 - train.py[line:75] - INFO : [Epoch:25, iter:18500] Loss: 0.96898 
2021-01-07 10:03:37,115 - train.py[line:94] - INFO : Validation | Loss: 1.07920
2021-01-07 10:03:37,116 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:03:39,976 - train.py[line:75] - INFO : [Epoch:26, iter:18600] Loss: 0.98841 
2021-01-07 10:03:44,270 - train.py[line:75] - INFO : [Epoch:26, iter:18700] Loss: 0.95784 
2021-01-07 10:03:48,903 - train.py[line:75] - INFO : [Epoch:26, iter:18800] Loss: 0.95501 
2021-01-07 10:03:53,698 - train.py[line:75] - INFO : [Epoch:26, iter:18900] Loss: 0.94825 
2021-01-07 10:03:58,158 - train.py[line:75] - INFO : [Epoch:26, iter:19000] Loss: 0.95511 
2021-01-07 10:04:02,771 - train.py[line:75] - INFO : [Epoch:26, iter:19100] Loss: 0.95043 
2021-01-07 10:04:07,874 - train.py[line:75] - INFO : [Epoch:26, iter:19200] Loss: 0.95115 
2021-01-07 10:04:14,955 - train.py[line:94] - INFO : Validation | Loss: 1.04516
2021-01-07 10:04:14,956 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:04:15,922 - train.py[line:75] - INFO : [Epoch:27, iter:19300] Loss: 0.90708 
2021-01-07 10:04:20,436 - train.py[line:75] - INFO : [Epoch:27, iter:19400] Loss: 0.93339 
2021-01-07 10:04:25,404 - train.py[line:75] - INFO : [Epoch:27, iter:19500] Loss: 0.93800 
2021-01-07 10:04:30,537 - train.py[line:75] - INFO : [Epoch:27, iter:19600] Loss: 0.93845 
2021-01-07 10:04:35,657 - train.py[line:75] - INFO : [Epoch:27, iter:19700] Loss: 0.93368 
2021-01-07 10:04:40,866 - train.py[line:75] - INFO : [Epoch:27, iter:19800] Loss: 0.93011 
2021-01-07 10:04:46,052 - train.py[line:75] - INFO : [Epoch:27, iter:19900] Loss: 0.93001 
2021-01-07 10:04:51,068 - train.py[line:75] - INFO : [Epoch:27, iter:20000] Loss: 0.92975 
2021-01-07 10:04:54,270 - train.py[line:94] - INFO : Validation | Loss: 1.04249
2021-01-07 10:04:54,271 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:04:58,372 - train.py[line:75] - INFO : [Epoch:28, iter:20100] Loss: 0.87393 
2021-01-07 10:05:03,159 - train.py[line:75] - INFO : [Epoch:28, iter:20200] Loss: 0.88997 
2021-01-07 10:05:07,869 - train.py[line:75] - INFO : [Epoch:28, iter:20300] Loss: 0.89534 
2021-01-07 10:05:12,926 - train.py[line:75] - INFO : [Epoch:28, iter:20400] Loss: 0.89906 
2021-01-07 10:05:17,692 - train.py[line:75] - INFO : [Epoch:28, iter:20500] Loss: 0.90228 
2021-01-07 10:05:22,441 - train.py[line:75] - INFO : [Epoch:28, iter:20600] Loss: 0.91087 
2021-01-07 10:05:27,147 - train.py[line:75] - INFO : [Epoch:28, iter:20700] Loss: 0.91091 
2021-01-07 10:05:32,251 - train.py[line:94] - INFO : Validation | Loss: 0.97697
2021-01-07 10:05:32,252 - train.py[line:99] - INFO : Save model to checkpoint 
2021-01-07 10:05:33,850 - train.py[line:75] - INFO : [Epoch:29, iter:20800] Loss: 0.91169 
2021-01-07 10:05:38,610 - train.py[line:75] - INFO : [Epoch:29, iter:20900] Loss: 0.88251 
2021-01-07 10:05:43,209 - train.py[line:75] - INFO : [Epoch:29, iter:21000] Loss: 0.88377 
2021-01-07 10:05:47,795 - train.py[line:75] - INFO : [Epoch:29, iter:21100] Loss: 0.90065 
2021-01-07 10:05:52,241 - train.py[line:75] - INFO : [Epoch:29, iter:21200] Loss: 0.89644 
